OBJECTID,ARTWORK_NAME,ARTIST,MEDIUM,LOCATION_DETAIL,ADDRESS,WARD,LATITUDE,LONGITUDE,PIC_URL,THUMB_URL
5481,Rivalis 4 2012,Sean Russell,Oil pastel and digital print on recycled fabric,4th Floor Office of Cultural Affairs,City Hall 495 S Main Street,Ward 3 (CLV Collection),36.1672967336,-115.148751682,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Rivalis4.JPG,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Rivalis4.JPG
5419,Rivalis 5 2012,Sean Russell,Oil pastel and digital print on recycled fabric,3rd Floor near Purchasing and Contracts conference Room,City Hall 495 S Main Street,Ward 3 (CLV Collection),36.1669833075,-115.148598128,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Rivalis5.JPG,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Rivalis5.JPG
5420,Rivalis 6 2012,Sean Russell,Oil pastel and digital print on recycled fabric,5th Floor reception area near Parks Recreation and Neighborhood Services,City Hall 495 S Main Street,Ward 3 (CLV Collection),36.1676971723,-115.148175389,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Rivalis6.JPG,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Rivalis6.JPG
5422,Rivalis 8 2012,Sean Russell,Oil pastel and digital print on recycled fabric,3rd Floor near Purchasing and Contracts reception window,City Hall 495 S Main Street,Ward 3 (CLV Collection),36.1671067861,-115.148453927,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Rivalis8.JPG,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Rivalis8.JPG
5423,Sara Winnemucca 2006,Benjamin Victor,Cast bronze,2nd Floor City Hall near Council Chambers,495 S Main Street,Ward 3 (CLV Collection),36.1671915198,-115.148672268,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/SaraWinnemucca.JPG,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/SaraWinnemucca.JPG
5451,Stewart Ranch 1949 ,Crosby DeMoss,Oil on canvas,2nd Floor City Council Chambers,495 S Main Street,Ward 3 (CLV Collection),36.1672852815,-115.148224721,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/StewartRanch.JPG,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/StewartRanch.JPG
5452,The Smile 2012,Niki J. Sands,Mixed-media sculpture,2nd Floor Outdoor Patio,City Hall 495 S Main Street,Ward 3 (CLV Collection),36.1673763528,-115.148612427,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/TheSmile.JPG,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/TheSmile.JPG
5453,TheANCIENTS 2012,Zak Ostrowski,Charcoal graphite colored pencil and watercolor on American walnut panels,2nd Floor NOW Cafe,City Hall 495 S Main Street,Ward 3 (CLV Collection),36.1676159286,-115.147867623,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/TheAncients.JPG,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/TheAncients.JPG
5454,Touched by an Angel 2012 ,Dale Mathis,Mixed-media sculpture,7th Floor Lobby,City Hall 495 S Main Street,Ward 3 (CLV Collection),36.1677615032,-115.148553834,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/TouchedByAnAngel.JPG,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/TouchedByAnAngel.JPG
5440,bristles... 2012,Zak Ostrowski,Charcoal graphite colored pencil and watercolor on spalted maple panels,1st Floor Lobby City Hall,495 S Main Street,Ward 3 (CLV Collection),36.167799144,-115.148412458,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Bristles2.JPG,https://storage.googleapis.com/gisworkspace/public/imagery/historicsites/Bristles2.JPG
