Violation_ID,Violation_Code,Violation_Demerits,Violation_Description,ObjectId
2949,2949,0,"Person in charge available and knowledgeable/management certification.,",14695
2950,2950,0,"Backflow prevention devices and methods in place and maintained.,",14696
2951,2951,0,"Food and warewashing equipment approved,properly designed,constructed and installed.,",14697
2952,2952,0,"PHF/TCSs properly thawed. Fruits and vegetables washed prior to preparation of service.,",14698
2953,2953,0,"Grade card/signs posted. Consumer advisory. Records/logs. NCIAA. PHFs labeled/dated. Offsite label.,",14699
2954,2954,5,"Time as a control. Operational plan,waiver/variance followed. Permit parameters followed.,,",14700
2955,2955,3,"Kitchenware & FCS of equip. properly washed,rinsed,san. & air dried. San solution as required.,",14701
2956,2956,3,"Person in charge available and knowledgeable/management certification,",14702
3046,3046,5,"Approved water source with required documentation.,",14703
3047,3047,5,"Required E-Coli lab testing documented. (NAC 445A.555 a),",14704
3048,3048,5,"Required Annual & 4-year series lab testing documented. (NAC 445A. 555 b&c),",14705
3049,3049,3,"Container testing conducted every three months. (NAC 445A.563),",14706
3050,3050,3,"Pre and Post Water testing conducted as required. ( NAC445A.557),",14707
3064,3064,3,"Proper labeling of food for consumption off site and/or transportation.,",14708
3065,3065,3,"Person in charge available and knowledgeable/management certification.Facility has an effective employee health policy.,",14709
3066,3066,3,"Grade card and required signs posted conspicuously. Records/logs maintained and available when required. NCIAA compliant.,",14710
3067,3067,0,"Appropriate sanitizer test kits provided and used. Ware washing thermometer(s) are required. Wiping cloths and linens stored and used properly. Permanently affixed thermometers.,",14711
3068,3068,0,"Facility in sound condition and maintained (floors,walls,ceilings,plumbing,lighting,ventilation,etc.)",14712
3069,3069,5,"Operational plan,HACCP plan,waiver or variance approved and followed when required. Operating within the parameters of the health permit.,",14713
4177,4177,0,"Dumpsters lids open,",14714
4178,4178,0,"Dumpsters located less than 50 ft from doors,",14715
4179,4179,0,"Dumpster on soil or damaged pavement,",14716
4180,4180,0,"Trash spillage around dumpsters,",14717
4181,4181,0,"Outdoor trash cans with no lids,",14718
4182,4182,0,"Weatherstripping and/or door sweeps in disrepair,",14719
4183,4183,0,"Windows damaged and/or screens missing,",14720
4184,4184,0,"Penetrations not sealed,",14721
4185,4185,0,"Walls/roof line in disrepair,",14722
4186,4186,0,"Ventilation intakes not screened,",14723
4187,4187,0,"Water not adequately draining,",14724
4188,4188,0,"Roof in disrepair,",14725
4189,4189,0,"Gutters clogged,",14726
4190,4190,0,"Other,",14727
4191,4191,0,"Overgrown/Excessive vegetation,",14728
4192,4192,0,"Trees/Vegetation in contact with building,",14729
4193,4193,0,"Tree hazard observed,",14730
4194,4194,0,"Overgrown/Excessive vegetation,",14731
4195,4195,0,"Evidence of rodents,",14732
4196,4196,0,"Evidence of nuisance birds,",14733
4197,4197,0,"Other,",14734
4198,4198,0,"General unsanitary conditions observed,",14735
4199,4199,0,"General unsanitary conditions observed,",14736
4200,4200,0,"General unsanitary conditions observed,",14737
4201,4201,0,"General unsanitary conditions observed,",14738
4202,4202,0,"Other,",14739
4203,4203,0,"Evidence of rodents,",14740
4204,4204,0,"Evidence of flies,",14741
4205,4205,0,"Evidence of cockroaches,",14742
4206,4206,0,"Other,",14743
4207,4207,0,"Administrative procedures not followed as required,",14744
4208,4208,0,"Sticky traps not serviced as needed,",14745
4209,4209,0,"Light traps not serviced as needed,",14746
4210,4210,0,"Bait stations not serviced as needed,",14747
4771,4771,0,"Interruption of electrical service,",14748
4772,4772,0,"No potable water or hot water,",14749
4773,4773,0,"Gross unsanitary occurrences or conditions including pest infestation,",14750
4774,4774,0,"Sewage or liquid waste not disposed of in an approved manner,",14751
4775,4775,0,"Lack of adequate refrigeration,",14752
4776,4776,0,"Lack of adequate employee toilets and handwashing facilities,",14753
4777,4777,0,"Suspected foodborne illness outbreak,",14754
4778,4778,0,"Other condition or circumstance that may endanger public health,",14755
4779,4779,5,"Operating within the parameters of the health permit. Compliance with Time as a Public Health Control,waiver,specialized process,and Hazard Analysis Critical Control Point (HACCP) plan.,,",14756
4780,4780,5,"Handwashing (as required,when required,proper glove use,no bare hand contact of ready to eat foods). Food handler health restrictions as required.,,",14757
4781,4781,5,"Commercially manufactured food from approved source with required labels. Parasite destruction as required. Time temperature control for safety (TCS) food received at proper temperature.,",14758
4782,4782,5,"Hot and cold running water from approved source as required.,",14759
4783,4783,5,"No imminently dangerous cross connection,adequate backflow prevention. Wastewater and sewage properly disposed.,,",14760
4784,4784,5,"Food wholesome,not spoiled,contaminated,or adulterated.,,",14761
4785,4785,5,"TCS food cooked and reheated to proper temperatures.,",14762
4786,4786,5,"TCS food properly cooled.,",14763
4787,4787,5,"TCS food at proper temperatures.,",14764
4788,4788,3,"Equipment approved,properly designed,maintained,and operated.,,",14765
4789,4789,3,"Food protected from potential cross-contamination.,",14766
4790,4790,3,"Chemicals properly identified,stored,and used.,",14767
4791,4791,3,"Food protected from potential contamination by employees and consumers.,",14768
4792,4792,3,"Food contact surfaces of equipment properly cleaned and sanitized. Sanitizer solution provided and maintained as required.,",14769
4793,4793,3,"Adequate handwashing sinks stocked and accessible.,",14770
4794,4794,3,"Effective pest control measures. Animals restricted as required.,",14771
4795,4795,3,"Grade card posted conspicuously. Consumer advisory as required.,",14772
4796,4796,3,"Thermometers provided and accurate.,",14773
4797,4797,3,"TCS food thawed and cooled using proper methods. Fruits and vegetables washed prior to preparation or service.,",14774
4798,4798,3,"Single-use/single-service items properly used.,",14775
4799,4799,3,"Person in charge present,demonstrates knowledge,and performs duties. Effective employee health policy. Mandated certification and food handler card as required.,",14776
4800,4800,3,"Proper backflow prevention devices in place and maintained.,",14777
4801,4801,3,"TCS food labeled and dated as required. Food sold for offsite consumption labeled properly. Records,logs,policies,and procedures maintained and available when required.,,",14778
4802,4802,0,"Personal cleanliness maintained. Personal effects properly stored.,",14779
4803,4803,0,"Non-TCS food labeled and within shelf-life. Food stored off the floor. Proper retail storage of chemicals.,",14780
4804,4804,0,"Ware washing facilities maintained. Wiping cloths properly stored,test strips available.,,",14781
4805,4805,0,"Signs and certifications as required.,",14782
4806,4806,0,"Small wares approved,properly designed,in good repair.,",14783
4807,4807,0,"Utensils,equipment,linens,single-service/single-use items properly handled,stored,and dispensed.,",14784
4808,4808,0,"Nonfood contact surfaces and equipment properly constructed,installed,maintained,and clean.,,",14785
4809,4809,0,"Restrooms custodial areas,and premises maintained.,",14786
4810,4810,0,"Physical facility in sound condition and maintained.,",14787
